Source,Destination,Start,End,Md5,Source Size,Bytes Transferred,Result,Description
gs://jugnu-canary/profiles/strict-v2-fa1afb7/266891.json,gs://jugnu-canary/profiles/strat1000-ff7b377/266891.json,2026-08-02T23:21:07.693875Z,2026-08-02T23:21:07.693958Z,JZSkUk1IjCrcTWFSgTHYXQ==,3058,3058,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/267118.json,gs://jugnu-canary/profiles/strat1000-ff7b377/267118.json,2026-08-02T23:21:07.752423Z,2026-08-02T23:21:07.752533Z,uthvAXTEmwmLpjSIQ5VtcA==,3232,3232,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/26730.json,gs://jugnu-canary/profiles/strat1000-ff7b377/26730.json,2026-08-02T23:21:07.830289Z,2026-08-02T23:21:07.830392Z,LiUmHpekDfGvHyrQgnPqVA==,3079,3079,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/267574.json,gs://jugnu-canary/profiles/strat1000-ff7b377/267574.json,2026-08-02T23:21:07.915859Z,2026-08-02T23:21:07.915953Z,hsLqt7FlYp5DcQVDG49HcA==,3057,3057,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/26782.json,gs://jugnu-canary/profiles/strat1000-ff7b377/26782.json,2026-08-02T23:21:07.965216Z,2026-08-02T23:21:07.965309Z,0BdJDkLQ0Jg/Nl9wGAL/6A==,3067,3067,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/267958.json,gs://jugnu-canary/profiles/strat1000-ff7b377/267958.json,2026-08-02T23:21:08.019182Z,2026-08-02T23:21:08.019218Z,kYHYVV5gE7XTxuPUvPQ9Gw==,3038,3038,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/268521.json,gs://jugnu-canary/profiles/strat1000-ff7b377/268521.json,2026-08-02T23:21:08.082221Z,2026-08-02T23:21:08.082316Z,eESZFsQdv9gpC8+X/zWB6g==,4041,4041,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/268552.json,gs://jugnu-canary/profiles/strat1000-ff7b377/268552.json,2026-08-02T23:21:08.139606Z,2026-08-02T23:21:08.139686Z,ArAlwDfFEqfoLs0K2MDmDA==,4038,4038,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/268592.json,gs://jugnu-canary/profiles/strat1000-ff7b377/268592.json,2026-08-02T23:21:08.208120Z,2026-08-02T23:21:08.208196Z,SFL9AMRZ6yw6ulXiZ9NfJQ==,3007,3007,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/26892.json,gs://jugnu-canary/profiles/strat1000-ff7b377/26892.json,2026-08-02T23:21:08.260328Z,2026-08-02T23:21:08.260412Z,jC8t1JCwlOyaGznWT93mvw==,3851,3851,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/268941.json,gs://jugnu-canary/profiles/strat1000-ff7b377/268941.json,2026-08-02T23:21:08.333556Z,2026-08-02T23:21:08.333634Z,7mu8rAJ+AqUveaEoG7fCQg==,3786,3786,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/269136.json,gs://jugnu-canary/profiles/strat1000-ff7b377/269136.json,2026-08-02T23:21:08.407385Z,2026-08-02T23:21:08.407558Z,c+WRZ2tyqbFnynCCPnmEUQ==,3152,3152,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/269311.json,gs://jugnu-canary/profiles/strat1000-ff7b377/269311.json,2026-08-02T23:21:08.451919Z,2026-08-02T23:21:08.452025Z,2LKlyzoQXmZhjZmBl+fgxA==,3059,3059,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/269510.json,gs://jugnu-canary/profiles/strat1000-ff7b377/269510.json,2026-08-02T23:21:08.554396Z,2026-08-02T23:21:08.554483Z,BZNjO/PaobpD70Mw16thKg==,3048,3048,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/270897.json,gs://jugnu-canary/profiles/strat1000-ff7b377/270897.json,2026-08-02T23:21:08.624111Z,2026-08-02T23:21:08.624196Z,5yfWlo3bBQT2F2228ACVWQ==,3003,3003,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/271123.json,gs://jugnu-canary/profiles/strat1000-ff7b377/271123.json,2026-08-02T23:21:08.763472Z,2026-08-02T23:21:08.763569Z,4gPdPmNbfyened7fXAxPXw==,4042,4042,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/27096.json,gs://jugnu-canary/profiles/strat1000-ff7b377/27096.json,2026-08-02T23:21:08.771612Z,2026-08-02T23:21:08.771696Z,bYkV6NiDZl8UQBUXhkqqzw==,3051,3051,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/271190.json,gs://jugnu-canary/profiles/strat1000-ff7b377/271190.json,2026-08-02T23:21:08.814232Z,2026-08-02T23:21:08.814329Z,SZObwPdyS1EXFuToY9AulA==,3000,3000,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/271195.json,gs://jugnu-canary/profiles/strat1000-ff7b377/271195.json,2026-08-02T23:21:08.889858Z,2026-08-02T23:21:08.889896Z,WTkbt4Q0XJQb3G0/S00qcA==,2996,2996,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/271348.json,gs://jugnu-canary/profiles/strat1000-ff7b377/271348.json,2026-08-02T23:21:08.957829Z,2026-08-02T23:21:08.957928Z,ufcB+B7oP3WD+pboI07/yA==,3739,3739,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/271682.json,gs://jugnu-canary/profiles/strat1000-ff7b377/271682.json,2026-08-02T23:21:09.044662Z,2026-08-02T23:21:09.044753Z,GG2QnL2AKfbQxQWjtoeQgA==,3854,3854,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/27190.json,gs://jugnu-canary/profiles/strat1000-ff7b377/27190.json,2026-08-02T23:21:09.095042Z,2026-08-02T23:21:09.095149Z,+IM9JlBqkj4VVUX/HRK76A==,3000,3000,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/272802.json,gs://jugnu-canary/profiles/strat1000-ff7b377/272802.json,2026-08-02T23:21:09.164698Z,2026-08-02T23:21:09.164804Z,to8C6RdiGEclgStQy2lI2g==,3828,3828,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/273117.json,gs://jugnu-canary/profiles/strat1000-ff7b377/273117.json,2026-08-02T23:21:09.223968Z,2026-08-02T23:21:09.224052Z,iewBxMlb4kpphEK+3KOcqQ==,3060,3060,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/273160.json,gs://jugnu-canary/profiles/strat1000-ff7b377/273160.json,2026-08-02T23:21:09.269041Z,2026-08-02T23:21:09.269132Z,7qSkPX3IWeCfpqO2oE8Uxg==,3806,3806,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/273516.json,gs://jugnu-canary/profiles/strat1000-ff7b377/273516.json,2026-08-02T23:21:09.357819Z,2026-08-02T23:21:09.357911Z,kQwgdBNX3Ecl+bWwsZTfNw==,4122,4122,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/273919.json,gs://jugnu-canary/profiles/strat1000-ff7b377/273919.json,2026-08-02T23:21:09.418136Z,2026-08-02T23:21:09.418222Z,9x7FXcnH5ftXGrIMfQFc+w==,3075,3075,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/273930.json,gs://jugnu-canary/profiles/strat1000-ff7b377/273930.json,2026-08-02T23:21:09.481455Z,2026-08-02T23:21:09.481539Z,dLZ9iwbOnVuMlEF8zfav6Q==,3239,3239,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/274384.json,gs://jugnu-canary/profiles/strat1000-ff7b377/274384.json,2026-08-02T23:21:09.558869Z,2026-08-02T23:21:09.558960Z,x/NHqsMFiIUKOyyIFmsCWA==,3860,3860,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/275151.json,gs://jugnu-canary/profiles/strat1000-ff7b377/275151.json,2026-08-02T23:21:09.622266Z,2026-08-02T23:21:09.622346Z,eylXAilAjTko/V/SUH+gtQ==,4093,4093,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/275548.json,gs://jugnu-canary/profiles/strat1000-ff7b377/275548.json,2026-08-02T23:21:09.674699Z,2026-08-02T23:21:09.674801Z,9k9lQhguuwREEPtBfCU9fQ==,3095,3095,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/27574.json,gs://jugnu-canary/profiles/strat1000-ff7b377/27574.json,2026-08-02T23:21:09.738956Z,2026-08-02T23:21:09.739047Z,mzDlK3SRFHr90NE8PiNeWw==,3239,3239,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/27595.json,gs://jugnu-canary/profiles/strat1000-ff7b377/27595.json,2026-08-02T23:21:09.786144Z,2026-08-02T23:21:09.786219Z,1R0fuRvf8KLgEzFXlgYIlQ==,3698,3698,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/276192.json,gs://jugnu-canary/profiles/strat1000-ff7b377/276192.json,2026-08-02T23:21:09.886362Z,2026-08-02T23:21:09.886452Z,7YKxv5R38itoOfLp0cWtxg==,4041,4041,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/276734.json,gs://jugnu-canary/profiles/strat1000-ff7b377/276734.json,2026-08-02T23:21:09.921478Z,2026-08-02T23:21:09.921515Z,Yp/2N+H5u/+QVUBgz5E90w==,3837,3837,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/278113.json,gs://jugnu-canary/profiles/strat1000-ff7b377/278113.json,2026-08-02T23:21:09.993773Z,2026-08-02T23:21:09.993859Z,Al7h4ZvJKx++DVc8amPD8A==,3099,3099,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/278706.json,gs://jugnu-canary/profiles/strat1000-ff7b377/278706.json,2026-08-02T23:21:10.065555Z,2026-08-02T23:21:10.065667Z,GKU9tGK0Zab5quVrHl01pg==,3007,3007,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/278904.json,gs://jugnu-canary/profiles/strat1000-ff7b377/278904.json,2026-08-02T23:21:10.117093Z,2026-08-02T23:21:10.117181Z,UHWtI/3dk1UAJ5/jbzaP7g==,3027,3027,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/27941.json,gs://jugnu-canary/profiles/strat1000-ff7b377/27941.json,2026-08-02T23:21:10.200476Z,2026-08-02T23:21:10.200561Z,gZyNf/HpjgcC5SKbrxZQ+w==,3988,3988,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/279758.json,gs://jugnu-canary/profiles/strat1000-ff7b377/279758.json,2026-08-02T23:21:10.250059Z,2026-08-02T23:21:10.250144Z,bRffvr5lsXj4zlmNGVGNMg==,3853,3853,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/27999.json,gs://jugnu-canary/profiles/strat1000-ff7b377/27999.json,2026-08-02T23:21:10.326856Z,2026-08-02T23:21:10.326892Z,m13hSbeXrDb1pBjGKzgIOg==,3010,3010,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/281928.json,gs://jugnu-canary/profiles/strat1000-ff7b377/281928.json,2026-08-02T23:21:10.385889Z,2026-08-02T23:21:10.385968Z,gWIHFSYa8UUntQB+SbGhbQ==,4096,4096,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/283126.json,gs://jugnu-canary/profiles/strat1000-ff7b377/283126.json,2026-08-02T23:21:10.468648Z,2026-08-02T23:21:10.468749Z,FsdnzTGPOFs2pCVmENmg9w==,3829,3829,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/28391.json,gs://jugnu-canary/profiles/strat1000-ff7b377/28391.json,2026-08-02T23:21:10.517075Z,2026-08-02T23:21:10.517165Z,PkbPSqSDCQD/uQMERhv+Kw==,3034,3034,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/284136.json,gs://jugnu-canary/profiles/strat1000-ff7b377/284136.json,2026-08-02T23:21:10.592003Z,2026-08-02T23:21:10.592088Z,/ezmfV2tPklDm+XC0T6dQg==,3346,3346,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/284598.json,gs://jugnu-canary/profiles/strat1000-ff7b377/284598.json,2026-08-02T23:21:10.648323Z,2026-08-02T23:21:10.648356Z,vx88CqGtNlAG/alhEqXjsQ==,3022,3022,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/285096.json,gs://jugnu-canary/profiles/strat1000-ff7b377/285096.json,2026-08-02T23:21:10.716757Z,2026-08-02T23:21:10.716839Z,uqz+UFKQ9be3+DCuNnH3Fg==,3086,3086,OK,
