pid,property_name,city,state,website,top_guess_conventional,top_guess_floor_plans,top_guess_models,top_guess_rentcafe_spa,top_guess_other
8314,Deerfield,Denver,CO,http://www.deerfieldapartmenthomes.com/,http://www.deerfieldapartmenthomes.com/denver/deerfield/conventional/,http://www.deerfieldapartmenthomes.com/floor-plans/,http://www.deerfieldapartmenthomes.com/models,http://www.deerfieldapartmenthomes.com/apartments/co/denver/floor-plans#/,http://www.deerfieldapartmenthomes.com/Floor-plans.aspx
86,Meridian West,Puyallup,WA,http://www.meridianwestapthomes.com,http://www.meridianwestapthomes.com/puyallup/meridian-west/conventional/,http://www.meridianwestapthomes.com/floor-plans/,http://www.meridianwestapthomes.com/models,http://www.meridianwestapthomes.com/apartments/wa/puyallup/floor-plans#/,http://www.meridianwestapthomes.com/Floor-plans.aspx
794,Haven Apartments & Townhomes,Virginia Beach,VA,http://www.haven-apts.com/,http://www.haven-apts.com/virginia-beach/haven-apartments-townhomes/conventional/,http://www.haven-apts.com/floor-plans/,http://www.haven-apts.com/models,http://www.haven-apts.com/apartments/va/virginia-beach/floor-plans#/,http://www.haven-apts.com/Floor-plans.aspx
8717,Las Colinas Heights,Irving,TX,www.liveatlascolinasheights.com,https://www.liveatlascolinasheights.com/irving/las-colinas-heights/conventional/,https://www.liveatlascolinasheights.com/floor-plans/,https://www.liveatlascolinasheights.com/models,https://www.liveatlascolinasheights.com/apartments/tx/irving/floor-plans#/,https://www.liveatlascolinasheights.com/Floor-plans.aspx
264476,Encore Narcoossee,Orlando,FL,https://www.encorenarcoossee.com/,https://www.encorenarcoossee.com/orlando/encore-narcoossee/conventional/,https://www.encorenarcoossee.com/floor-plans/,https://www.encorenarcoossee.com/models,https://www.encorenarcoossee.com/apartments/fl/orlando/floor-plans#/,https://www.encorenarcoossee.com/Floor-plans.aspx
26527,Aquila Park,St Louis Park,MN,https://finelivingapts.com/,https://finelivingapts.com/st-louis-park/aquila-park/conventional/,https://finelivingapts.com/floor-plans/,https://finelivingapts.com/models,https://finelivingapts.com/apartments/mn/st-louis-park/floor-plans#/,https://finelivingapts.com/Floor-plans.aspx
26515,The Court at Northgate,Seattle,WA,https://northgaterentals.com,https://northgaterentals.com/seattle/the-court-at-northgate/conventional/,https://northgaterentals.com/floor-plans/,https://northgaterentals.com/models,https://northgaterentals.com/apartments/wa/seattle/floor-plans#/,https://northgaterentals.com/Floor-plans.aspx
264091,Hallasan,Los Angeles,CA,https://www.hollandresidential.com/ca/los-angeles/hallasan/,https://www.hollandresidential.com/los-angeles/hallasan/conventional/,https://www.hollandresidential.com/floor-plans/,https://www.hollandresidential.com/models,https://www.hollandresidential.com/apartments/ca/los-angeles/floor-plans#/,https://www.hollandresidential.com/Floor-plans.aspx
265147,Aura Delray Beach,Delray Beach,FL,https://auradelraybeach.com/,https://auradelraybeach.com/delray-beach/aura-delray-beach/conventional/,https://auradelraybeach.com/floor-plans/,https://auradelraybeach.com/models,https://auradelraybeach.com/apartments/fl/delray-beach/floor-plans#/,https://auradelraybeach.com/Floor-plans.aspx
264372,Ellison at The Preserve,Asheville,NC,https://www.ellisonpreserve.com/,https://www.ellisonpreserve.com/asheville/ellison-at-the-preserve/conventional/,https://www.ellisonpreserve.com/floor-plans/,https://www.ellisonpreserve.com/models,https://www.ellisonpreserve.com/apartments/nc/asheville/floor-plans#/,https://www.ellisonpreserve.com/Floor-plans.aspx
263992,Rivermont Park,Lynchburg,VA,https://www.rivermontparkapts.com/,https://www.rivermontparkapts.com/lynchburg/rivermont-park/conventional/,https://www.rivermontparkapts.com/floor-plans/,https://www.rivermontparkapts.com/models,https://www.rivermontparkapts.com/apartments/va/lynchburg/floor-plans#/,https://www.rivermontparkapts.com/Floor-plans.aspx
264283,The Villas at Green Valley I,New Albany,IN,https://www.villasatgv.com/,https://www.villasatgv.com/new-albany/the-villas-at-green-valley-i/conventional/,https://www.villasatgv.com/floor-plans/,https://www.villasatgv.com/models,https://www.villasatgv.com/apartments/in/new-albany/floor-plans#/,https://www.villasatgv.com/Floor-plans.aspx
26513,Arrive Oak Brook Heights,Westmont,IL,https://www.arriveoakbrookheights.com/,https://www.arriveoakbrookheights.com/westmont/arrive-oak-brook-heights/conventional/,https://www.arriveoakbrookheights.com/floor-plans/,https://www.arriveoakbrookheights.com/models,https://www.arriveoakbrookheights.com/apartments/il/westmont/floor-plans#/,https://www.arriveoakbrookheights.com/Floor-plans.aspx
264077,Novi Flats,Concord,NC,https://www.noviflats.com/,https://www.noviflats.com/concord/novi-flats/conventional/,https://www.noviflats.com/floor-plans/,https://www.noviflats.com/models,https://www.noviflats.com/apartments/nc/concord/floor-plans#/,https://www.noviflats.com/Floor-plans.aspx
26523,Concierge Apartments,Richfield,MN,https://www.theconciergeapartments.com/,https://www.theconciergeapartments.com/richfield/concierge-apartments/conventional/,https://www.theconciergeapartments.com/floor-plans/,https://www.theconciergeapartments.com/models,https://www.theconciergeapartments.com/apartments/mn/richfield/floor-plans#/,https://www.theconciergeapartments.com/Floor-plans.aspx
265192,Mandolin at Stream Valley,Franklin,TN,https://www.mandolinapartments.com/,https://www.mandolinapartments.com/franklin/mandolin-at-stream-valley/conventional/,https://www.mandolinapartments.com/floor-plans/,https://www.mandolinapartments.com/models,https://www.mandolinapartments.com/apartments/tn/franklin/floor-plans#/,https://www.mandolinapartments.com/Floor-plans.aspx
263981,The Lafayette,Stamford,CT,https://www.lafayettestamford.com/,https://www.lafayettestamford.com/stamford/the-lafayette/conventional/,https://www.lafayettestamford.com/floor-plans/,https://www.lafayettestamford.com/models,https://www.lafayettestamford.com/apartments/ct/stamford/floor-plans#/,https://www.lafayettestamford.com/Floor-plans.aspx
264935,REVA,Fort Myers,FL,https://revaftmyers.com/,https://revaftmyers.com/fort-myers/reva/conventional/,https://revaftmyers.com/floor-plans/,https://revaftmyers.com/models,https://revaftmyers.com/apartments/fl/fort-myers/floor-plans#/,https://revaftmyers.com/Floor-plans.aspx
264347,Flats at Shady Grove,Rockville,MD,https://www.flatsatshadygrove.com/,https://www.flatsatshadygrove.com/rockville/flats-at-shady-grove/conventional/,https://www.flatsatshadygrove.com/floor-plans/,https://www.flatsatshadygrove.com/models,https://www.flatsatshadygrove.com/apartments/md/rockville/floor-plans#/,https://www.flatsatshadygrove.com/Floor-plans.aspx
264397,Linden Ranch,Sachse,TX,https://www.hgliving.com/apartments/tx/sachse/linden-ranch/?utm_source=GBP&utm_medium=organic,https://www.hgliving.com/sachse/linden-ranch/conventional/,https://www.hgliving.com/floor-plans/,https://www.hgliving.com/models,https://www.hgliving.com/apartments/tx/sachse/floor-plans#/,https://www.hgliving.com/Floor-plans.aspx
265143,The Point at Kingston,Kingston,MA,https://www.thepointatkingston.com/,https://www.thepointatkingston.com/kingston/the-point-at-kingston/conventional/,https://www.thepointatkingston.com/floor-plans/,https://www.thepointatkingston.com/models,https://www.thepointatkingston.com/apartments/ma/kingston/floor-plans#/,https://www.thepointatkingston.com/Floor-plans.aspx
