apartment_id	property_name	provider	projection_verdict	winning_tier	floor_plan_count	positive_available_units	publish_ceiling	conventional_links	seed_plan_links	seed_vus_links	prior_hb_audited	opportunity_class	website
225952	Seranado Fountain	entrata	SUCCESS_PLAN_LEVEL	TIER_1_DOM_ENTRATA_PP_SSR_PLAN_LEVEL	3	0	NEEDS_RENDER	1	0	0	true	entrata_hb_audited_no_win	http://www.seranadofountainapartments.com/
226174	Lakeview Townhomes and Villas	generic_plan_text	SUCCESS_PLAN_LEVEL	TIER_1_DOM_GENERIC_PLAN_TEXT_PLAN_LEVEL	7	0	EXTRACTION_MISS	0	0	0	false	deterministic_detail_discovery	https://npmainc.com/listing/lakeview-townhomes/
227941	Spring River I	entrata	SUCCESS_PLAN_LEVEL	TIER_1_API_ENTRATA_SHAPE_REJECTED_PLAN_LEVEL	10	0	NEEDS_RENDER	1	0	0	true	entrata_hb_audited_no_win	http://www.springriverapartments.com/
231117	Monroe Village Apartments	rentmanager	SUCCESS_PLAN_LEVEL	TIER_3_DOM	8	0	EXTRACTION_MISS	0	0	0	false	rentmanager_residual_after_endpoint_sweep	https://www.dbcliving.com/apartment/monroe-village-apartments/
232870	Sorrento Apartments	unknown	SUCCESS_PLAN_LEVEL	TIER_1_API	7	0	CONFIRMED_NO_DATA	0	0	0	false	confirmed_no_data	www.SorrentoApartmentsfl.com
232972	The Dayton	generic_plan_text	SUCCESS_PLAN_LEVEL	TIER_1_DOM_GENERIC_PLAN_TEXT_PLAN_LEVEL	2	0	EXTRACTION_MISS	0	0	0	false	deterministic_detail_discovery	https://www.gardencommunities.com/Properties/NJ/Bergen/The-Dayton.aspx#overview
233289	Elevation 1659	unknown	SUCCESS_PLAN_LEVEL	TIER_1_API	12	0	UNCERTAIN	0	0	0	false	uncertain_residual	https://elevation1659apts.com/
233581	Riverside North Apartments	generic_plan_text	SUCCESS_PLAN_LEVEL	TIER_3_PLAN_TEXT	3	0	EXTRACTION_MISS	0	0	0	false	deterministic_detail_discovery	http://www.riversidenorth-in.com/
234133	Grand View	knock	SUCCESS_PLAN_LEVEL	TIER_3_DOM_GENERIC	11	0	UNCERTAIN	0	0	0	false	uncertain_residual	http://www.grandviewluxuryapts.com/
234582	Villa Vita	unknown	SUCCESS	TIER_1_5_EMBEDDED	7	0	<none>	0	0	0	false	known_false_positive_do_not_count	https://livevillavita.com/
238708	Stratford Place	unknown	SUCCESS_PLAN_LEVEL	TIER_3_DOM_PLAN_LEVEL	2	0	EXTRACTION_MISS	0	0	0	false	deterministic_detail_discovery	http://www.gldmanagement.com/stratford-place-apartments/
238775	Vine Gate	appfolio	SUCCESS_PLAN_LEVEL	TIER_1_API_APPFOLIO_EMPTY	3	0	NEEDS_RENDER	0	0	0	false	appfolio_residual_non_low_zip	www.vinegateaptsut.com
239312	Eland Downe Townhouses	entrata	FAILED_NO_DATA	TIER_1_API_ENTRATA_EMPTY	0	0	NEEDS_RENDER	1	0	0	true	entrata_hb_audited_no_win	https://www.liveeland.com/
239341	The Union	encoreskyline_template	SUCCESS_PLAN_LEVEL	TIER_2_JSONLD	6	0	EXTRACTION_MISS	0	0	0	false	deterministic_detail_discovery	https://theunionapts.com/
239679	3681 Pavillion Pointe	apts247	SUCCESS	TIER_1_API	0	0	<none>	0	0	0	false	known_false_positive_do_not_count	http://www.3681pavilionpointe.com/
240745	The Allure at Jefferson I	wix_nopms	SUCCESS_PLAN_LEVEL	SYNDICATION_ONLY_WIX_PLAN_LEVEL	9	0	UNCERTAIN	0	0	0	false	uncertain_residual	https://www.liveallureva.com/
243194	Fox Hill Apartments	generic_plan_text	SUCCESS_PLAN_LEVEL	TIER_3_DOM_GENERIC	7	0	UNCERTAIN	0	0	0	false	uncertain_residual	http://www.foxhillapthomes.com/
