property_id,property_name,website,source_adapter_0731,current_detected_adapter,exact_entrata_anchor,securecafe_base_count,rp_oracle_native_unit_rows,rp_oracle_distinct_floorplans,disposition
24139,,https://prometheusapartments.com/ca/santa-clara-apartments/boardwalk/,,unknown,,0,14,3,residual_unconverted
273828,,https://www.pointegrandsouthlake.com/,,funnel,,0,15,1,residual_unconverted
32996,TGM Ridge,https://tgmridge.com/,generic,unknown,,0,34,7,residual_unconverted
46915,Barberton,https://www.barbertonapt.com/,rentcafe,rentcafe,,0,3,3,residual_unconverted
234385,Townhomes at Spring Valley,http://www.mmgapts.com/spring-valley.htm,rentcafe,rentcafe,,0,0,0,residual_unconverted
53932,Misty Hollow,http://www.landmarkrealty.org/misty-hollow/,generic,unknown,,0,3,2,residual_unconverted
63191,Avenir on Fifteenth,http://avenirphilly.com/,sightmap,sightmap,,0,11,4,residual_unconverted
16509,,http://brooklawngardensapts.com/property/brooklawn/,,unknown,,0,0,0,residual_unconverted
1765,Annaberg,https://www.augustarentalhomes.net/_system/listings/56/2905-Arrowhead-Drive---D3-Augusta-GA-30909-US,generic,unknown,,0,0,0,residual_unconverted
3788,,http://www.citadelvillageco.com/,,appfolio,,0,0,0,direct_or_archived_lane_exhausted_no_strict_win
75912,TGM Creekside Village,www.tgmcreeksidevillage.com,generic,unknown,,0,24,6,residual_unconverted
24982,Fisher Building,https://www.cityclubapartments.com/usa/chicago-il/downtown/fisher-building-city-club/?lvcode=890940,generic,unknown,,0,6,4,residual_unconverted
27080,Easton North,http://www.oxfordrealtygroup.com/properties/new-jersey/easton-north/,rentcafe,rentcafe,,1,0,0,securecafe_exact_base_direct_blocked_or_pending_hb
23572,,https://www.riveroaksmgmt.com/vacancies-sommerset-la-costa,,appfolio,,0,0,0,direct_or_archived_lane_exhausted_no_strict_win
26527,Aquila Park,https://finelivingapts.com/,rentmanager,rentmanager,,0,13,4,direct_or_archived_lane_exhausted_no_strict_win
12586,Avondale at Warner Center,https://www.essexapartmenthomes.com/apartments/woodland-hills/avondale-at-warner-center,essex,essex,,0,18,3,residual_unconverted
30101,Apartments at Bel Air,https://www.seasonsbelair.com/,entrata,entrata,,0,72,18,residual_unconverted
61459,,http://www.thiestalle.com/properties/oakstreet-st-cloud.html,,knock,,0,0,0,residual_unconverted
76138,Covey Chase,https://morrowapartments.net/wdk-listing/covey-chase-apartments/,generic_plan_text,generic_plan_text,,0,3,3,direct_or_archived_lane_exhausted_no_strict_win
49096,Pondview Apartments,https://tvcproperties.com/community-detail/?pid=19,rentmanager,rentmanager,,0,4,3,direct_or_archived_lane_exhausted_no_strict_win
68497,Maya,http://www.liveatmaya.com/,knock,knock,,0,0,0,residual_unconverted
75314,Village Park at Paladin,https://pettinaro.com/village-park-paladin/,generic,unknown,,0,6,2,residual_unconverted
26736,The Boro - Phipps,https://www.theboroapartments.com/?switch_cls%5Bid%5D=64893&utm_source=gmb&utm_medium=organic&oll_switch_cls%5Bid%5D=64893&oll_utm_source=gmb&oll_utm_medium=organic,entrata,entrata,https://theboro.prospectportal.com/atlanta/kingsboro-luxury-apartments/conventional/,0,25,10,hyperbrowser_exact_entrata_anchor_pending_native_unit_drill
2844,TGM Danada,www.tgmdanada.com,generic,unknown,,0,40,5,residual_unconverted
74900,Fox Lake,https://www.foxlakeonline.com/,entrata,entrata,https://foxlake.prospectportal.com/knoxville/fox-lake-apartment-homes/conventional/,0,22,7,hyperbrowser_exact_entrata_anchor_pending_native_unit_drill
19245,Tenzen,http://www.tenzenapartments.com/,generic,unknown,,0,2,2,residual_unconverted
2239,TGM Autumn Woods,http://www.tgmautumnwoods.com,generic,unknown,,0,47,6,residual_unconverted
34362,Tamarron,www.thetamarronapts.com,generic,unknown,,0,25,5,residual_unconverted
50114,Woodgrove Point,https://rookwoodproperties.com/details/?propID=1&rmwebsvc_id=1&rmwebsvc_command=PropertyDetail.aspx&rmwebsvc_corpid=rookwood&rmwebsvc_location=1&rmwebsvc_mode=javascript&rmwebsvc_AvailabilityDate=8/21/2019&rmwebsvc_template=proplist,rentmanager,rentmanager,,0,0,0,direct_or_archived_lane_exhausted_no_strict_win
17984,Alessio,https://www.essexapartmenthomes.com/apartments/los-angeles/alessio,essex,essex,,0,21,4,residual_unconverted
277913,,https://www.byredwood.com/apartments/oh/perrysburg/redwood-perrysburg-oregon-road/index.aspx,,rentcafe,,0,0,0,residual_unconverted
68465,The Morgan Sandy Springs,https://www.themorgansandysprings.com/,entrata,entrata,https://www.themorgansandysprings.com/sandy-springs/the-morgan-sandy-springs/conventional/,0,19,11,hyperbrowser_exact_entrata_anchor_pending_native_unit_drill
2282,City View,https://www.essexapartmenthomes.com/california/san-francisco-bay-area-apartments/hayward-apartments/city-view,essex,essex,,0,18,7,residual_unconverted
69558,Spring Hill Apartments,https://www.goldberg-realty.com/spring-hill-apartments/default.aspx?_yTrackUser=NjYxMjI5OTY5IzE0NTQ0NTc5MTc=-lDwvxVr1Jx8=&_yTrackVisit=MTQ4NjYyNzQ2OCM2NDQ2Nzc2ODg%3d-W7HwJRKaxxE%3d&_yTrackReqDT=05551420201206,rentcafe,rentcafe,,1,1,1,securecafe_exact_base_direct_blocked_or_pending_hb
273790,Pointe Grand Augusta,https://www.pointegrandaugusta.com/,funnel,funnel,,0,10,1,residual_unconverted
30663,Revello - Living at Santa Monica,https://www.livingatsantamonica.com/properties/revello/,onesite,onesite,,0,0,0,residual_unconverted
56567,Park Forest Apartments,https://www.apartmentsstatecollege.com/park-forest-apartments,appfolio,appfolio,,0,2,2,direct_or_archived_lane_exhausted_no_strict_win
8654,Riverfalls at Bellmar,https://www.riverfallsdallas.com/,apts247,apts247,,0,27,4,residual_unconverted
1375,Lakewood,http://www.lakewood-apartments.net/,entrata,entrata,https://www.lakewood-apartments.net/tomball/lakewood-apartments/conventional/,0,25,13,hyperbrowser_exact_entrata_anchor_pending_native_unit_drill
16831,Agora at Port Richey,https://agoraatportrichey.prospectportal.com/,entrata,entrata,https://agoraatportrichey.prospectportal.com/port-richey/agora-at-port-richey/conventional/,0,24,10,hyperbrowser_exact_entrata_anchor_pending_native_unit_drill
36782,Harbor Station Townhomes,https://www.harborstationtownhomes.com/,rentmanager,rentmanager,,0,2,2,direct_or_archived_lane_exhausted_no_strict_win
266766,101 Oxford,https://www.101oxford.com/,rentcafe,rentcafe,,1,0,0,securecafe_exact_base_direct_blocked_or_pending_hb
27245,Halston Shiloh Valley,https://www.halstonshilohvalley.com/,entrata,entrata,https://halstonshilohvalley.prospectportal.com/kennesaw/halston-shiloh-valley/conventional/,0,17,6,hyperbrowser_exact_entrata_anchor_pending_native_unit_drill
42586,Birchstone Northlake,https://www.birchstonenorthlake.com/,entrata,entrata,https://www.birchstonenorthlake.com/northlake/birchstone-northlake/conventional/,0,19,7,hyperbrowser_exact_entrata_anchor_pending_native_unit_drill
25443,Lee Square,http://www.leesquareapartments.com/,appfolio,appfolio,,0,0,0,direct_or_archived_lane_exhausted_no_strict_win
78597,Sentral Union Station,https://www.sentral.com/denver/union-station,encoreskyline_template,unknown,,0,51,19,residual_unconverted
268888,Artthaus Jack London,https://arthaus.mov/building-community.php?slug=arthaus-jack-london,generic,unknown,,0,1,1,residual_unconverted
249998,Canvas,https://www.canvas-apts.com/,rentcafe,rentcafe,,0,43,20,residual_unconverted
