property_id,property_name,website,source_adapter_0731,current_detected_adapter,evidence_lane,recovery_level,recovered_native_or_plan_row_count,rp_oracle_native_unit_rows,rp_oracle_distinct_floorplans,rp_oracle_rows_with_availability_date,quality_caveat
240193,Sepulveda Manhattan Apartments,http://www.manhattansepulveda.com/,rentcafe,rentcafe,rentcafe_direct_e2e,unit,,1,1,1,
251908,,https://www.posthouseevv.com/,,knock,onesite_direct_e2e,unknown,,21,21,21,
251974,,https://www.domainatfoundersparc.com/,,onesite,onesite_direct_e2e,unknown,,17,13,17,
253326,The Point at Reston,https://www.thepointatreston.com/,entrata,realpage_oll,onesite_direct_e2e,unknown,,26,14,26,
253646,Tapestry Westland Village,https://www.alapts.com/apartments/fl/jacksonville/tapestry-westland-village/,onesite,onesite,onesite_direct_e2e,unknown,,12,8,12,
253966,Aventura at Maryland Oaks,https://www.avmarylandoaks.com/,rentcafe,rentcafe,rentcafe_direct_e2e,unit,,9,5,9,
254122,,https://www.pedcorliving.com/apartments/avril-cambridge-village,,generic_plan_text,other_current_code_e2e_or_archived_replay,unknown,,5,3,5,
258584,The Encore at Ingram Manor,https://www.theencoreatingrammanorapts.com/,rentcafe,rentcafe,rentcafe_direct_e2e,unit,,7,6,7,
258661,,https://banyanonwashington.com/,,generic_plan_text,other_current_code_e2e_or_archived_replay,unknown,,31,28,31,
260564,Union @ Roosevelt II,https://www.unionatroosevelt.com/,rentcafe,rentcafe,rentcafe_direct_e2e,unit,,27,11,27,
260697,,https://www.linqatsouthmountain.com/,,rentcafe,other_current_code_e2e_or_archived_replay,unknown,,0,0,0,
261116,Copper Pointe,https://copperpointeapts.com/,realpage_oll,knock,onesite_direct_e2e,unknown,,13,3,13,
262174,Star Deluxe Branford,https://metrostarapartments.com/star-deluxe-branford/,rentcafe,rentcafe,rentcafe_direct_e2e,unit,,300,60,300,
262717,,https://www.aviareedycreek.com/,,rentcafe_layout_tab,page_local_archived_replay,unknown,,11,3,11,
263127,Hickory Grove,https://www.hickorygrovega.com/,rentmanager,rentcafe_layout_tab,page_local_archived_replay,unknown,,0,0,0,
265143,The Point at Kingston,https://www.thepointatkingston.com/,entrata,realpage_oll,onesite_direct_e2e,unknown,,19,11,19,
270367,Boulevard 45,https://blvd45apts.com/,onesite,onesite,onesite_direct_e2e,unknown,,8,7,8,
277774,Redwood Superior Township,https://www.byredwood.com/apartments/mi/superior-township/redwood-superior-township/,rentcafe,rentcafe,rentcafe_direct_e2e,unit,,0,0,0,
281767,YO,https://www.yo-stl.com/,rentcafe,rentcafe,rentcafe_direct_e2e,unit,,2,1,2,
284199,501 Brady,https://www.501brady.com/,onesite,onesite,onesite_direct_e2e,unknown,,8,8,8,
291774,Gallatin Village,https://www.123taylor.com/gallatin-village,onesite,onesite,onesite_direct_e2e,unknown,,5,5,5,
293741,,https://www.hudsonbishopscreek.com/,,rentcafe,other_current_code_e2e_or_archived_replay,unknown,,11,5,11,
297708,Argento at Sugarloaf,https://www.argentoatsugarloaf.com/,rentcafe,rentcafe,rentcafe_direct_e2e,unit,,112,8,112,
300327,Flats on 10th,https://flatson10th.com/,rentcafe,rentcafe,rentcafe_direct_e2e,unit,,11,6,11,
300689,Valley Ridge,https://www.livevalleyridgeapts.com/,rentcafe,rentcafe,rentcafe_direct_e2e,unit,,16,3,16,
