"shard","property_id","proj_name","address","city","state","zip_code","website","verdict_reason","adapter","detected_pms","winning_tier","fetch_outcome","fetch_status","fetch_body_bytes"
76,"273790","Pointe Grand Augusta","1400 Pointe Grand Dr","Augusta","GA","30909","https://www.pointegrandaugusta.com/","no records extracted","funnel","funnel","TIER_1_API_FUNNEL_SHAPE_REJECTED","OK",,271591
76,"30663","Revello - Living at Santa Monica","1234 6th St","Santa Monica","CA","90401","https://www.livingatsantamonica.com/properties/revello/","no records extracted","onesite","onesite","TIER_1_API_ONESITE_NO_RESPONSE","OK",,175850
77,"56567","Park Forest Apartments","901 W Aaron Dr","State College","PA","16803","https://www.apartmentsstatecollege.com/park-forest-apartments","no records extracted","appfolio","appfolio","TIER_1_API_APPFOLIO_EMPTY","OK",,163684
77,"6701","Park on Riley","99 Cable Cir","Folsom","CA","95630","https://www.theparkonriley.com/","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_NO_RESPONSE","OK",,170375
77,"8654","Riverfalls at Bellmar","10570 Stone Canyon Rd","Dallas","TX","75230","https://www.riverfallsdallas.com/","no records extracted","apts247","apts247","TIER_1_API_APTS247_NO_KEY","OK",,4616
78,"1375","Lakewood","11000 Gatesden Dr","Tomball","TX","77377","http://www.lakewood-apartments.net/","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_NO_RESPONSE","OK",,148932
78,"16831","Agora at Port Richey","8228 Chasco Woods Blvd","Port Richey","FL","34668","https://agoraatportrichey.prospectportal.com/","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_NO_RESPONSE","OK",,145500
78,"300689","Valley Ridge","10 Draught St","Rossville","GA","30741","https://www.livevalleyridgeapts.com/","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_NO_RESPONSE","OK",,163799
79,"36782","Harbor Station Townhomes","4901 Randall Pkwy","Wilmington","NC","28403","https://www.harborstationtownhomes.com/","no records extracted","rentmanager","rentmanager","TIER_1_API_RENTMANAGER","OK",,215434
80,"266766","101 Oxford","101 W Oxford St","Philadelphia","PA","19122","https://www.101oxford.com/","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_NO_RESPONSE","OK",,151344
82,"27245","Halston Shiloh Valley","2100 Shiloh Valley Dr","Kennesaw","GA","30144","https://www.halstonshilohvalley.com/","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_SHAPE_REJECTED","OK",,87841
82,"42586","Birchstone Northlake","13900 Chadwick Pkwy","Northlake","TX","76262","https://www.birchstonenorthlake.com/","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_EMPTY","OK",,183803
84,"25443","Lee Square","126 Chanel Terrace","Falls Church","VA","22046","http://www.leesquareapartments.com/","no records extracted","appfolio","appfolio","TIER_1_API_APPFOLIO_EMPTY","OK",,97810
86,"18379",,,,,,"https://www.lindyproperty.com/property/bromley-house/","no extract result",,,,,,
87,"78597","Sentral Union Station","1770 Chestnut Pl","Denver","CO","80202","https://www.sentral.com/denver/union-station","no records extracted","encoreskyline_template","encoreskyline_template","ENCORESKYLINE_NO_PLAN_LINKS","OK",,175789
88,"268888","Artthaus Jack London","233 Broadway","Oakland","CA","94607","https://arthaus.mov/building-community.php?slug=arthaus-jack-london","no records extracted","generic","unknown","TIER_1_API","OK",,0
91,"249998","Canvas","5300 Baltimore Ave","Hyattsville","MD","20781","https://www.canvas-apts.com/","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_NO_RESPONSE","OK",,349419
92,"15014","Wildwood Park","5550 Columbia Pike","Arlington","VA","22204","http://www.rentdittmar.com/apartment-communities/wildwood-park","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_SHAPE_REJECTED","OK",,127609
92,"282696","Allen Ranch Estates","1893 SW Hungry Hill Dr","Grants Pass","OR","97527","https://www.ishranchestates.com/allen-ranch","no records extracted","wix_nopms","wix_nopms","SYNDICATION_ONLY_WIX","OK",,524509
92,"33993","City Club Apartments MDA","63 E Lake St","Chicago","IL","60601","https://www.cityclubapartments.com/","no records extracted","generic","unknown","TIER_1_API","OK",,958
92,"74523","Charter Club","1040 Windward Dr","London","OH","43140","http://www.charterclubapts.com/","no records extracted","generic","generic_plan_text","TIER_1_API","OK",,140785
94,"41175","Fusion Encore Hollywood","1714 N McCadden Pl","Hollywood","CA","90028","https://www.fusionencore.com/","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_NO_RESPONSE","OK",,176278
95,"217796","Old Shell Lofts","1706 Old Shell Rd","Mobile","AL","36604","https://themobilelofts.com/apartments/al/mobile/the-old-shell-lofts/","no records extracted","encoreskyline_template","encoreskyline_template","ENCORESKYLINE_NO_UNITS","OK",,427366
95,"218177","Mill & Main","501 SE Main St","Minneapolis","MN","55414","www.millandmain.com","no records extracted","funnel","funnel","TIER_1_API_FUNNEL_NO_RESPONSE","OK",,105838
95,"263732","Hoyt Tower","50-54 Sussex Ave","Newark","NJ","07103","https://www.hoyttowernewark.com/","no records extracted","wix_nopms","wix_nopms","SYNDICATION_ONLY_WIX","OK",,1060902
96,"284199","501 Brady","501 Brady St","Davenport","IA","52801","https://www.501brady.com/","no records extracted","onesite","onesite","TIER_1_API_ONESITE_NO_RESPONSE","OK",,473769
98,"38737",,,,,,"http://www.rentatstonegateapartments.com/","no extract result",,,,,,
99,"272772","Hawkeye Village","1422 Irish Dr","Waterloo","IA","50701","http://hawkeyevillageapartments.com/","no records extracted","generic","unknown","TIER_1_API","OK",,13952
99,"42576","Fenway Triangle","180 Brookline Ave","Boston","MA","02215","https://fenwaytriangle.com/","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_SHAPE_REJECTED","OK",,93244
100,"60141","Bridgeview","701 Harrison St","Allentown","PA","18103","http://www.scullycompany.com/bridgeview-14.html","no records extracted","sightmap","sightmap","TIER_1_API_SIGHTMAP_SHAPE_REJECTED","OK",,268335
101,"240111","ReNew Logan Square","1 Franklin Town Blvd","Philadelphia","PA","19103","https://www.renewlogansquare.com/","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_NO_RESPONSE","OK",,141437
101,"282381","Mission Ranch","FM Rd 16","Lindale","TX","75771","https://www.missionmanagementlindale.com/","no records extracted","appfolio","appfolio","TIER_1_API_APPFOLIO_EMPTY","OK",,125734
101,"55729","Cherry Court","113 Cherry Ct","Greenville","NC","27858","https://www.keystonemanagement.com/apartments/nc/cherry-court-apartments","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_NO_RESPONSE","OK",,768482
103,"8789",,,,,,"https://livebh.com/apartments/flintridge-apartment-homes/?utm_source=vanity&utm_medium=redirect&utm_campaign=flintridge-apartment-homes&original_referrer=flintridgeapartments.com","no extract result",,,,,,
104,"18736","Central Park","2400 Central Pkwy","Montgomery","AL","36106","www.centralparkmontgomery.com","no records extracted","onesite","onesite","TIER_1_API_ONESITE_NO_RESPONSE","OK",,147204
104,"22986","Tuscany Hills","715 Ash Ln","San Marcos","CA","92069","http://www.tuscanyhillsapartments.com/","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_NO_RESPONSE","OK",,151089
105,"17186","The Park at Tivoli","12903 Sugar Ridge Blvd","Stafford","TX","77477","https://www.theparkattivoli.com/","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_SHAPE_REJECTED","OK",,128601
108,"55709","Vista Pointe Apartments","2981 Ridge Ave","Macon","GA","31204","https://ridgepointeblueridgeapts.com/en/","no records extracted","generic","generic_plan_text","TIER_1_API","OK",,49998
110,"26733","Parc 85","2620 N Berkeley Lake Rd NW","Duluth","GA","30096","https://www.parc85.com/","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_NO_RESPONSE","OK",,150068
110,"42977","Elms at Stoney Run","7581 Stoney Run Dr","Hanover","MD","21076","https://stoneyrunelmsliving.com/home#","no records extracted","realpage_oll","knock","TIER_1_API_REALPAGE_OLL","OK",,10291
111,"72766","Fox Ridge","601 Lakeview Dr","Royersford","PA","19468","https://www.liveatfoxridge.com/?utm_source=GBP&utm_medium=organic&utm_knock=gbp","no records extracted","repli360","repli360","TIER_1_API_REPLI360_NO_FLOORPLANS","OK",,773689
112,"567","Ridgewood","3863 Memorial Dr","Decatur","GA","30032","http://www.ridgewoodgabyelon.com/","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_NO_RESPONSE","OK",,52882
113,"40743","Met Spires","233 St Helens Ave","Tacoma","WA","98402","https://www.metspires.com/","no records extracted","rentcafe","repli360","TIER_1_API_RENTCAFE_SHAPE_REJECTED","OK",,297355
113,"68956","266 Lofts","266 S Front St","Memphis","TN","38103","https://www.266lofts.com/","no records extracted","g5","g5","TIER_1_API_G5_API_ERROR","OK",,296171
114,"251120","The Foundry","998 Riverfront St","West Sacramento","CA","95691","https://www.thefoundry-tbd.com/","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_SHAPE_REJECTED","OK",,156204
115,"35683","Parkcrest at the Lakes","13621 Parkcrest Blvd","Fort Myers","FL","33912","www.parkcrestatthelakesapts.com","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_NO_RESPONSE","OK",,144568
